names,imag+zpve,u298,h298,g298,gap,dipX,dipY,dipZ,dipTotal,core,Tetrahedral_count,Unconnected_triangles_count,Triangles_with_1_shared_vertex_count,Triangles_with_2_shared_vertices_count
AuTM-32.xyz.1315631.hpc-mn1.out , -3.87      6.31       0.444250307844 ,-77.8536868,-77.37461949,-77.47583012,1.859689133,25.9637,11.1373,7.0788,74.028,1,0,0,0,0
AuTM-33.xyz.1315632.hpc-mn1.out , 15.28      18.66      0.323662343847 ,-82.18049141,-81.82599139,-81.91849638,1.63615598,1.6951,0.5136,-2.5254,7.84,1,0,0,0,0
AuTM-34.xyz.1315633.hpc-mn1.out , -7.97      8.37       0.945837608113 ,-149.9962331,-148.988635,-149.1422021,2.096028091,2.8139,1.0367,1.2386,8.247,1,0,0,0,0
AuTM-35.xyz.1315634.hpc-mn1.out , 13.06      28.17      0.457120563585 ,-82.02053562,-81.53255029,-81.62188986,2.66188493,-2.3358,-2.3471,2.1248,10,1,0,0,0,0
AuTM-36.xyz.1315635.hpc-mn1.out , 5.30       8.56       0.743629036325 ,-121.7670981,-120.972102,-121.1046545,2.277607801,-0.3287,3.5863,1.9479,10.407,1,0,0,0,0
AuTM-37.xyz.1315636.hpc-mn1.out , -3.98      22.06      0.200762318596 ,-37.97283783,-37.75237964,-37.82097787,2.502918815,-0.7098,0.4539,0.532,2.533,1,0,0,0,0
AuTM-38.xyz.1315637.hpc-mn1.out , -10.82     -1.72      0.452064370516 ,-148.9883897,-148.4863682,-148.617615,2.128185934,12.1386,9.4737,15.1462,54.898,1,0,0,0,0
AuTM-39.xyz.1315638.hpc-mn1.out , 22.34      32.12      0.331757206911 ,-69.91612486,-69.5583828,-69.63813958,2.234451639,3.1932,-1.2333,-2.1651,10.295,1,0,0,0,0
AuTM-40.xyz.1315639.hpc-mn1.out , 3.66       15.19      0.322183134381 ,-82.78422057,-82.42836038,-82.52635568,2.083145118,-0.1799,2.655,3.4644,11.104,1,0,0,0,0
AuTM-41.xyz.1315640.hpc-mn1.out , -22.60     14.64      0.555251665459 ,-113.774818,-113.1769891,-113.2908797,2.120866424,0.01,3.988,-3.2157,13.021,1,0,0,0,0
AuTM-42.xyz.1315641.hpc-mn1.out , -3.97      6.52       0.367134709366 ,-86.04487138,-85.64330904,-85.7439704,0.806375593,0.008,0.9437,-0.622,2.873,1,0,0,0,0
AuTM-43.xyz.1315642.hpc-mn1.out , -8.24      3.74       0.384121145355 ,-103.8012056,-103.3799314,-103.48696,3.129586579,4.665,1.702,1.1213,12.939,1,0,0,0,0
AuTM-44.xyz.1315643.hpc-mn1.out , -1.99      8.84       0.405267991319 ,-77.0394254,-76.60336133,-76.69558079,2.107014594,3.4635,1.5564,-2.4899,11.541,1,0,0,0,0
AuTM-45.xyz.1315644.hpc-mn1.out , 9.30       19.29      0.698469552864 ,-122.459976,-121.7145707,-121.835795,2.575383615,3.9485,-0.8306,0.9233,10.521,1,0,0,0,0
AuTM-46.xyz.1315645.hpc-mn1.out , 19.34      23.01      0.225576471580 ,-59.30783102,-59.06016586,-59.13270537,1.633380046,-13.5357,-2.7793,-5.8218,38.112,1,0,0,0,0
AuTM-47.xyz.1315646.hpc-mn1.out , 1.39       6.87       0.610462735296 ,-123.1590178,-122.5050889,-122.6223814,0.968326598,0.3013,-4.2026,-1.7833,11.629,1,0,0,0,0
AuTM-48.xyz.1315647.hpc-mn1.out , 10.45      13.29      0.381221665015 ,-79.1819587,-78.77057581,-78.86056634,1.020528691,-6.7319,-1.2215,-0.3125,17.408,1,0,0,0,0
AuTM-49.xyz.1315648.hpc-mn1.out , 19.82      24.04      0.322819286696 ,-58.4781093,-58.13114224,-58.20770345,3.13001719,2.0494,-3.4651,-1.0061,10.547,1,0,0,0,0
AuTM-50.xyz.1315649.hpc-mn1.out , 8.76       16.22      0.437307931643 ,-94.60404546,-94.13143531,-94.23172341,2.53150071,3.6223,1.9971,2.0703,11.757,1,0,0,0,0
AuTM-51.xyz.1315650.hpc-mn1.out , -15.77     29.76      0.168585208476 ,-33.46300816,-33.27921148,-33.33758196,3.010709787,0.306,-1.7388,-10.9253,28.129,1,0,0,0,0
AuTM-52.xyz.1315651.hpc-mn1.out , -2.28      16.88      0.494331396129 ,-64.0585939,-63.53299764,-63.62285185,3.982739499,-2.8485,1.1829,-0.2527,7.866,1,0,0,0,0
AuTM-53.xyz.1315652.hpc-mn1.out , 19.83      31.62      0.431387689009 ,-69.92257202,-69.46470644,-69.54545631,2.461974304,4.9616,-0.4699,-0.6222,12.766,1,0,0,0,0
AuTM-54.xyz.1315653.hpc-mn1.out , 27.12      38.01      0.237392635220 ,-42.29168919,-42.03653593,-42.0990784,3.146542623,0.8602,3.1602,3.2434,11.716,1,0,0,0,0
AuTM-55.xyz.1315654.hpc-mn1.out , 11.32      17.52      0.459972493055 ,-92.12689946,-91.63276577,-91.72982649,3.003538386,20.4324,2.0615,21.1934,75.009,1,0,0,0,0
AuTM-56.xyz.1315655.hpc-mn1.out , 16.72      22.74      0.357345675539 ,-71.30194847,-70.91530058,-71.002907,2.412317262,3.5372,0.9025,-0.8062,9.502,1,0,0,0,0
AuTM-57.xyz.1315656.hpc-mn1.out , 18.71      22.52      0.263188617849 ,-64.70972883,-64.41924701,-64.50309843,1.72407838,-12.2539,-27.9185,-33.0847,114.356,1,0,0,0,0
AuTM-58.xyz.1315657.hpc-mn1.out , 19.53      29.81      0.447925979400 ,-66.62571084,-66.14813356,-66.23444965,1.976299193,-0.7886,0.1258,1.6375,4.631,1,0,0,0,0
AuTM-59.xyz.1315658.hpc-mn1.out , 2.88       21.26      0.525315128534 ,-90.58902283,-90.02789335,-90.12922098,2.168146546,-2.1386,-2.3527,2.7483,10.682,1,0,0,0,0
AuTM-60.xyz.1315659.hpc-mn1.out , 39.47      39.49      0.112143341580 ,-21.71186874,-21.58763605,-21.63776221,4.017844753,-0.9104,1.2002,-2.9081,8.324,1,0,0,0,0
AuTM-61.xyz.1315660.hpc-mn1.out , -6.25      2.35       0.421543874038 ,-90.26225408,-89.80781576,-89.90460527,1.956401103,-2.4323,-0.5947,-4.7787,13.713,1,0,0,0,0
AuTM-62.xyz.1315661.hpc-mn1.out , 20.06      35.95      0.150970405028 ,-44.36602943,-44.19677846,-44.26215756,3.171752282,3.2919,0.8349,0.2825,8.662,1,0,0,0,0
AuTM-63.xyz.1315662.hpc-mn1.out , 14.02      29.46      0.159653521908 ,-58.53385504,-58.35381191,-58.42382003,2.779700362,5.8102,-0.0012,-21.8723,57.522,1,0,0,0,0
AuTM-64.xyz.1315663.hpc-mn1.out , 7.24       17.30      0.599245990471 ,-97.30715828,-96.67075934,-96.77510077,1.179912632,2.0891,2.3625,-2.6507,10.471,1,0,0,0,0
AuTM-65.xyz.1315664.hpc-mn1.out , 3.23       17.69      0.357065218730 ,-74.59831417,-74.21768719,-74.29345224,2.284660115,0.0696,-2.135,-2.9758,9.311,1,0,0,0,0
AuTM-66.xyz.1315665.hpc-mn1.out , 18.62      27.99      0.185976914888 ,-47.09433455,-46.88950227,-46.9559348,0.330671417,8.1333,23.7322,7.8936,66.847,1,0,0,0,0
AuTM-67.xyz.1315666.hpc-mn1.out , 7.61       23.25      0.349436897662 ,-70.90421546,-70.52737665,-70.61186225,1.868840371,-0.6563,-3.5673,-2.2572,10.859,1,0,0,0,0
AuTM-68.xyz.1315667.hpc-mn1.out , 7.17       14.09      0.416660285327 ,-94.56412532,-94.1138437,-94.21178831,2.549318322,1.1983,1.549,-2.5956,8.265,1,0,0,0,0
AuTM-69.xyz.1315668.hpc-mn1.out , 2.66       19.11      0.600254796908 ,-107.8450282,-107.2006356,-107.3188797,2.486458176,-0.2948,3.7706,-0.7275,9.789,1,0,0,0,0
AuTM-70.xyz.1315669.hpc-mn1.out , -5.43      5.39       0.614779531744 ,-105.2727738,-104.6153924,-104.7323379,2.475896422,-1.2628,-3.1758,1.6579,9.655,1,0,0,0,0
